Severity	Code	Description	Project	File	Line
Error	LNK2005	_stbi_info_from_callbacks already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_info_from_memory already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_info_from_file already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_info already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_convert_iphone_png_to_rgb already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_set_unpremultiply_on_load already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_zlib_decode_noheader_buffer already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_zlib_decode_noheader_malloc already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_zlib_decode_buffer already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_zlib_decode_malloc_guesssize_headerflag already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_zlib_decode_malloc already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_zlib_decode_malloc_guesssize already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_hdr_to_ldr_scale already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_hdr_to_ldr_gamma already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_ldr_to_hdr_scale already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_ldr_to_hdr_gamma already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_is_hdr_from_callbacks already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_is_hdr_from_file already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_is_hdr already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_is_hdr_from_memory already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_loadf_from_file already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_loadf already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
Error	LNK2005	_stbi_loadf_from_callbacks already defined in main.obj	Project	C:\Users\Ciaran\Documents\TCD Documents\SS\Graphics\Assignments&Labs\Game\Project\text.obj	1
